elixir-italy.covacs.refdata,galaxy CoVaCS,`tree structure <https://raw.githubusercontent.com/indigo-dc/Reference-data-galaxycloud-repository/master/elixir-italy.covacs.refdata/structure/tree_elixir-italy.covacs.refdata>`_
elixir-italy.galaxy.refdata,"galaxy Epigen, galaxy RNA-workbench, Galaxy GDC Somatic Variant Calling",`tree structure <https://raw.githubusercontent.com/indigo-dc/Reference-data-galaxycloud-repository/master/elixir-italy.galaxy.refdata/structure/tree_elixir-italy.galaxy.refdata>`_
