IAM,https://<iam_vm_dns_name>/
SLAM,https://<slam_vm_dns_name>:8443/auth
PROXY,https://<proxy_vm_dns_name>
CMDB,https://<proxy_vm_dns_name>/couch/_utils/database.html?indigo-cmdb-v2
IM,https://<proxy_vm_dns_name>/im
CPR,https://<proxy_vm_dns_name>/cpr
ORCHESTRATOR,https://<proxy_vm_dns_name>/orchestrator
DASHBOARD,https://<dashboard_vm_dns_name>
